TIME,LAT,LONG,VAL
44.1,36.07324462,-79.77581287,149
44.2,36.07324574,-79.77581051,149
44.3,36.07324688,-79.77580807,149
44.4,36.07324804,-79.77580556,149
44.5,36.07324922,-79.77580299,149
44.6,36.07325043,-79.77580036,149
44.7,36.07325167,-79.77579771,149
44.8,36.07325291,-79.77579504,149
44.9,36.07325417,-79.77579238,149
45,36.07325546,-79.7757897,149
45.1,36.07325675,-79.77578703,149
45.2,36.07325806,-79.77578436,149
45.3,36.07325938,-79.77578171,149
45.4,36.0732607,-79.77577907,149
45.5,36.07326202,-79.77577643,149
45.6,36.07326333,-79.77577381,149
45.7,36.07326459,-79.77577115,149
45.8,36.07326582,-79.77576848,149
45.9,36.07326701,-79.77576578,149
46,36.07326816,-79.77576306,149
46.1,36.07326928,-79.77576032,149
46.2,36.07327037,-79.77575758,149
46.3,36.07327144,-79.77575483,149
46.4,36.0732725,-79.77575208,149
46.5,36.07327355,-79.7757493,149
46.6,36.07327459,-79.7757465,149
46.7,36.07327562,-79.77574367,149
46.8,36.07327665,-79.77574082,149
46.9,36.07327766,-79.77573793,149
47,36.07327866,-79.77573502,149
47.1,36.07327964,-79.77573207,149
47.2,36.0732806,-79.77572912,149
47.3,36.07328156,-79.77572615,149
47.4,36.0732825,-79.77572317,149
47.5,36.07328344,-79.77572017,149
47.6,36.07328438,-79.77571715,149
47.7,36.07328532,-79.77571411,149
47.8,36.07328627,-79.77571105,149
47.9,36.07328722,-79.77570796,149
48,36.07328819,-79.77570484,149
48.1,36.07328918,-79.77570169,149
48.2,36.07329019,-79.77569852,149
48.3,36.07329123,-79.77569534,149
48.4,36.07329228,-79.77569214,149
48.5,36.07329336,-79.77568893,149
48.6,36.07329446,-79.77568571,149
48.7,36.07329558,-79.7756825,149
48.8,36.0732967,-79.77567928,149
48.9,36.07329783,-79.77567607,149
49,36.07329897,-79.77567287,149
49.1,36.0733001,-79.77566969,149
49.2,36.07330125,-79.77566651,149
49.3,36.07330241,-79.77566335,149
49.4,36.07330358,-79.7756602,149
49.5,36.07330477,-79.77565707,149
49.6,36.07330599,-79.77565397,149
49.7,36.07330723,-79.77565088,149
49.8,36.07330849,-79.77564781,149
49.9,36.07330978,-79.77564476,149
50,36.07331108,-79.77564173,149
50.1,36.07331241,-79.77563872,149
50.2,36.07331376,-79.77563572,149
50.3,36.07331512,-79.77563272,149
50.4,36.0733165,-79.77562973,149
50.5,36.07331788,-79.77562673,149
50.6,36.07331929,-79.77562374,149
50.7,36.0733207,-79.77562076,149
50.8,36.07332213,-79.77561778,149
50.9,36.07332358,-79.7756148,149
51,36.07332504,-79.77561183,149
51.1,36.07332653,-79.77560886,149
51.2,36.07332804,-79.77560587,149
51.3,36.07332958,-79.77560287,149
51.4,36.07333114,-79.77559985,149
51.5,36.07333273,-79.77559682,149
51.6,36.07333436,-79.77559378,149
51.7,36.07333602,-79.77559075,149
51.8,36.07333773,-79.77558773,149
51.9,36.07333932,-79.775585,149
52,36.07334022,-79.77558353,149
52.1,36.07334112,-79.77558206,149
52.2,36.07334203,-79.77558061,149
52.3,36.07334296,-79.77557916,149
52.4,36.07334445,-79.77557691,149
52.5,36.0733487,-79.77557088,149
52.6,36.07335253,-79.77556585,149
52.7,36.07335525,-79.77556247,149
52.8,36.07335742,-79.77555985,149
52.9,36.07335964,-79.77555728,149
53,36.07336191,-79.77555477,149
53.1,36.07336424,-79.77555232,149
53.2,36.07336662,-79.77554994,149
53.3,36.07336906,-79.77554762,149
53.4,36.07337156,-79.77554537,149
53.5,36.07337413,-79.7755432,149
53.6,36.07337676,-79.77554109,149
53.7,36.07337944,-79.77553904,149
53.8,36.07338217,-79.77553704,149
53.9,36.07338495,-79.77553509,149
54,36.07338779,-79.7755332,149
54.1,36.0733907,-79.77553138,149
54.2,36.07339366,-79.77552963,149
54.3,36.07339667,-79.77552795,149
54.4,36.07339972,-79.77552635,149
54.5,36.07340282,-79.77552483,149
54.6,36.07340596,-79.7755234,149
54.7,36.07340916,-79.77552205,149
54.8,36.07341237,-79.77552075,149
54.9,36.0734156,-79.77551947,149
55,36.0734189,-79.77551831,149
55.1,36.07342219,-79.77551716,149
55.2,36.07342553,-79.77551606,149
55.3,36.07342891,-79.77551501,149
55.4,36.07343233,-79.77551399,149
55.5,36.07343577,-79.77551301,149
55.6,36.07343926,-79.77551206,149
55.7,36.07344276,-79.77551112,149
55.8,36.07344627,-79.77551019,149
55.9,36.0734498,-79.77550928,149
56,36.07345334,-79.77550838,149
56.1,36.07345688,-79.77550749,149
56.2,36.07346042,-79.77550662,149
56.3,36.07346397,-79.77550575,149
56.4,36.07346753,-79.77550488,149
56.5,36.07347111,-79.77550401,149
56.6,36.0734747,-79.77550313,149
56.7,36.07347831,-79.77550225,149
56.8,36.07348193,-79.77550136,149
56.9,36.07348557,-79.77550048,149
57,36.07348922,-79.7754996,149
57.1,36.07349286,-79.77549873,149
57.2,36.0734965,-79.77549786,149
57.3,36.07350013,-79.77549701,149
57.4,36.07350374,-79.77549615,149
57.5,36.07350733,-79.77549528,149
57.6,36.0735109,-79.7754944,149
57.7,36.07351445,-79.77549349,149
57.8,36.07351799,-79.77549256,149
57.9,36.07352152,-79.7754916,149
58,36.07352503,-79.77549061,149
58.1,36.07352854,-79.7754896,149
58.2,36.07353204,-79.77548857,149
58.3,36.07353553,-79.77548752,149
58.4,36.07353902,-79.77548645,149
58.5,36.07354251,-79.77548535,149
58.6,36.07354598,-79.77548423,149
58.7,36.07354945,-79.7754831,149
58.8,36.0735529,-79.77548196,149
58.9,36.07355634,-79.77548084,149
59,36.07355977,-79.77547973,149
59.1,36.07356319,-79.77547865,149
59.2,36.0735666,-79.77547758,149
59.3,36.07357,-79.77547654,149
59.4,36.07357339,-79.7754755,149
59.5,36.07357677,-79.77547445,149
59.6,36.07358013,-79.77547339,149
59.7,36.07358346,-79.77547232,149
59.8,36.07358677,-79.77547123,149
59.9,36.07359006,-79.77547013,149
60,36.0735933,-79.77546902,149
60.1,36.07359651,-79.77546791,149
60.2,36.07359969,-79.77546679,149
60.3,36.07360283,-79.77546567,149
60.4,36.07360595,-79.77546454,149
60.5,36.07360903,-79.7754634,149
60.6,36.07361208,-79.77546225,149
60.7,36.07361512,-79.77546109,149
60.8,36.07361814,-79.77545993,149
60.9,36.07362116,-79.77545878,149
61,36.07362416,-79.77545764,149
61.1,36.07362714,-79.77545652,149
61.2,36.0736301,-79.77545543,149
61.3,36.07363303,-79.77545436,149
61.4,36.07363592,-79.77545333,149
61.5,36.07363875,-79.77545233,149
61.6,36.07364151,-79.77545137,149
61.7,36.07364419,-79.77545045,149
61.8,36.0736468,-79.77544955,149
61.9,36.07364932,-79.77544869,149
62,36.07365174,-79.77544786,149
62.1,36.07365406,-79.77544705,149
62.2,36.07365632,-79.77544625,149
62.3,36.07365854,-79.77544544,149
62.4,36.07366075,-79.77544461,149
62.5,36.07366299,-79.77544373,149
62.6,36.0736653,-79.77544279,149
62.7,36.07366771,-79.77544178,149
62.8,36.0736702,-79.77544072,149
62.9,36.07367279,-79.77543961,149
63,36.07367545,-79.77543846,149
63.1,36.07367817,-79.77543728,149
63.2,36.0736809,-79.7754361,149
63.3,36.07368362,-79.77543493,149
63.4,36.07368633,-79.77543375,149
63.5,36.07368901,-79.77543258,149
63.6,36.07369165,-79.77543141,149
63.7,36.07369425,-79.77543025,149
63.8,36.07369684,-79.7754291,149
63.9,36.0736994,-79.77542797,149
64,36.07370195,-79.77542686,149
64.1,36.07370449,-79.7754258,149
64.2,36.07370702,-79.77542478,149
64.3,36.07370955,-79.77542379,149
64.4,36.07371208,-79.77542282,149
64.5,36.07371459,-79.77542182,149
64.6,36.07371709,-79.77542082,149
64.7,36.07371958,-79.77541979,149
64.8,36.07372205,-79.77541873,149
64.9,36.07372453,-79.77541766,149
65,36.07372698,-79.77541653,149
65.1,36.07372942,-79.77541539,149
65.2,36.07373186,-79.77541421,149
65.3,36.07373428,-79.77541298,149
65.4,36.07373669,-79.77541171,149
65.5,36.0737391,-79.77541041,149
65.6,36.0737415,-79.77540908,149
65.7,36.0737439,-79.77540775,149
65.8,36.07374632,-79.77540644,149
65.9,36.07374874,-79.77540515,149
66,36.07375118,-79.7754039,149
66.1,36.07375364,-79.77540269,149
66.2,36.07375612,-79.77540152,149
66.3,36.07375861,-79.77540039,149
66.4,36.07376112,-79.77539929,149
66.5,36.07376364,-79.77539823,149
66.6,36.07376619,-79.77539723,149
66.7,36.07376874,-79.77539626,149
66.8,36.07377132,-79.77539534,149
66.9,36.0737739,-79.77539448,149
67,36.0737765,-79.77539369,149
67.1,36.07377912,-79.77539299,149
67.2,36.07378175,-79.77539236,149
67.3,36.07378438,-79.77539182,149
67.4,36.07378701,-79.77539135,149
67.5,36.07378966,-79.77539094,149
